	Si+	C_7H_7+	C_6H_10NO+	C_6H_10N_3+
	27.9727	91.0573	112.0785	124.0776
876.5440	8.00635	1257.55	16390.2	8497.79	
879.8208	7.00406	1202.78	16245.1	8138.86	
883.0976	11.0084	1227.21	16044	8636.91	
886.3744	5.00321	1240.37	15981.3	8150.99	
889.6512	15.0124	1245.69	16402.4	8398.67	
892.9280	12.0088	1269.99	16379.1	8418.95	
896.2048	6.00366	1247.67	16419.3	8299.85	
899.4816	6.00256	1248.41	16290.4	8337.57	
902.7584	8.00489	1245.43	16631.3	8511.82	
906.0352	13.0107	1353.76	16287.1	8383.56	
909.3120	9.00632	1257.92	16298.6	8326.91	
912.5888	4.0022	1260.5	16292.6	8301.49	
915.8656	12.0103	1272.8	16154.8	8416.97	
919.1424	10.0061	1290	15983	8272.79	
922.4192	8.00391	1371.35	16135.7	8176.24	
925.6960	7.00534	1440.72	15790.7	7888.9	
928.9728	8.00391	1898.61	15594.4	7768.46	
932.2496	10.0067	2708.1	14194.3	7146.13	
935.5264	4.0022	3937.74	12574.9	6357.86	
938.8032	2.00073	6137.86	10876.5	5383.2	
942.0800	3.00064	9465.46	8437.28	4255.62	
945.3568	2.00055	13638.8	6313.48	2997.1	
948.6336	1.00015	18335.8	4200.98	2190.14	
951.9104	1.00015	23114.6	2744.96	1242.44	
955.1872	0	25953.2	1643.78	743.843	
958.4640	0	27602.2	943.126	440.16	
961.7408	0	28851	538.555	248.846	
965.0176	0	29987.3	278.949	147.351	
968.2944	0	30715	174.249	84.499	
971.5712	0	30170.2	104.561	47.2514	
974.8480	0	30958.8	85.4038	36.1993	
978.1248	1.00003	31032.3	75.3218	38.162	
981.4016	0	30386.4	62.2421	32.1312	
984.6784	0	30472.8	54.1856	42.1923	
987.9552	1.00015	30553.7	45.1483	32.156	
991.2320	0	30949.6	51.2	35.1575	
994.5088	0	31260.8	55.2171	29.1362	
997.7856	0	30908.8	41.1392	27.0994	
1001.0624	1.00003	30405.6	38.1266	39.1626	
1004.3392	0	30907.3	51.1765	22.0941	
1007.6160	1.00003	30806.7	49.1448	32.1533	
1010.8928	0	30343	41.1208	28.1206	
1014.1696	0	30413.3	33.092	32.1361	
1017.4464	0	30753.8	49.1424	37.1743	
1020.7232	0	30611.8	33.0877	21.0827	
1024.0000	0	30054.1	45.1284	20.0796	
1027.2768	0	30541.1	40.136	28.116	
1030.5536	0	30927.3	40.0952	33.1406	
1033.8304	0	30377.5	38.1286	26.1118	
1037.1072	0	30687.5	34.0915	36.1234	
1040.3840	0	30403.7	48.165	28.1057	
1043.6608	0	30520	35.0933	35.1864	
1046.9376	0	30944.8	33.1116	39.1784	
1050.2144	0	30681.8	44.1238	27.1022	
1053.4912	1.00009	31147.4	31.102	23.0878	
1056.7680	0	30895.4	41.114	26.1165	
1060.0448	0	30692.1	29.0777	30.11	
1063.3216	0	30588.9	41.1152	23.0834	
1066.5984	0	31097.3	37.0863	30.1383	
1069.8752	0	30283.5	32.0778	16.064	
1073.1520	0	30660.8	46.151	26.1028	
1076.4288	0	30469.1	47.1562	23.1014	
1079.7056	0	30733.5	28.0805	35.1513	
1082.9824	0	30941.1	34.0936	28.1195	
1086.2592	0	30209.5	24.0576	27.0952	
1089.5360	1.00003	30486.3	33.0901	19.0798	
1092.8128	0	30270.8	28.0776	29.1307	
1096.0896	0	30228.6	29.0924	30.1331	
1099.3664	0	30128.3	22.0657	27.0944	
1102.6432	0	30948.3	30.0951	30.1309	
1105.9200	0	30717.4	26.0845	29.1215	
1109.1968	0	29889.2	42.1147	37.1594	
1112.4736	0	30673.9	34.0924	24.0821	
1115.7504	0	31366.1	37.1159	20.0724	
1119.0272	0	30971.5	29.0768	32.1487	
1122.3040	0	30317.1	33.1	33.1432	
1125.5808	0	30648.2	32.0932	27.115	
1128.8576	0	30186.8	25.0726	33.1562	
1132.1344	0	30697.4	32.0821	24.1043	
1135.4112	0	30510.3	30.0891	27.1163	
1138.6880	0	30250.8	23.0653	26.1097	
1141.9648	0	30328.8	26.0573	19.0713	
1145.2416	0	30050.4	25.0643	29.1398	
1148.5184	0	30684.5	29.0956	34.144	
1151.7952	0	30791.8	37.1077	25.0906	
1155.0720	0	30944.1	28.0755	30.1466	
1158.3488	0	31334.1	26.0712	33.1184	
1161.6256	0	30026.7	21.0518	16.0615	
1164.9024	0	30091.9	29.0845	23.1011	
1168.1792	0	30415.2	35.094	18.0652	
1171.4560	0	30400	27.0721	21.0789	
1174.7328	0	29667.3	32.0961	29.1271	
1178.0096	0	30352.4	27.0782	19.0887	
1181.2864	0	30791.9	30.0718	24.0971	
1184.5632	0	30357.7	23.0599	28.1246	
1187.8400	0	30465.9	25.0603	26.1145	
1191.1168	0	31040.3	32.0889	34.1708	
1194.3936	0	30615.6	31.0979	23.1061	
1197.6704	0	30306.5	21.0606	30.1462	
1200.9472	0	30870	26.0596	19.0736	
1204.2240	0	30870.4	18.0409	23.1063	
1207.5008	0	30649.1	29.0717	27.1051	
1210.7776	0	30164.5	19.0505	25.1106	
1214.0544	1.00003	30027.5	28.0833	31.0982	
1217.3312	0	30848.7	28.0788	19.0875	
1220.6080	0	30459.7	21.0365	16.0684	
1223.8848	0	30464.4	25.0601	21.0789	
1227.1616	0	30875.5	26.0768	24.0979	
1230.4384	0	30780.1	34.0979	20.0933	
1233.7152	0	30267.3	22.0538	23.0974	
1236.9920	0	29811.6	23.0696	30.1081	
